Luxembourg;LUX;2430
Latvia;LVA;62090
Macao SAR; China;30.8
St. Martin (French part);MAF;50
Morocco;MAR;446300
Monaco;MCO;2.027
Moldova;MDA;32885.3
Madagascar;MDG;581800
Maldives;MDV;300
Middle East & North Africa;MEA;11223349
Mexico;MEX;1943950
Marshall Islands;MHL;180
Middle income;MIC;79576735.2
North Macedonia;MKD;25220
Mali;MLI;1220190
Malta;MLT;320
Myanmar;MMR;652790
Middle East & North Africa (excluding high income);MNA;8641089
Montenegro;MNE;13450
Mongolia;MNG;1557255
Northern Mariana Islands;MNP;460
Mozambique;MOZ;786380
Mauritania;MRT;1030700
Mauritius;MUS;2030
Malawi;MWI;94280
Malaysia;MYS;328550
North America;NAC;18113064
Namibia;NAM;823290
New Caledonia;NCL;18280
Niger;NER;1266700
Nigeria;NGA;910770
Nicaragua;NIC;120340
Netherlands;NLD;33670
Norway;NOR;365107.85
Nepal;NPL;143350
Nauru;NRU;20
New Zealand;NZL;263310
OECD members;OED;35460828.359
Oman;OMN;309500
Other small states;OSS;2032281
Pakistan;PAK;770880
Panama;PAN;74177
Peru;PER;1280000
Philippines;PHL;298170
Palau;PLW;460
Papua New Guinea;PNG;452860
Poland;POL;306170
Pre-demographic dividend;PRE;20270500.838
Puerto Rico;PRI;8870
Korea; Dem. People’s Rep.;120410
Portugal;PRT;91605.6
Paraguay;PRY;397300
West Bank and Gaza;PSE;6020
Pacific island small states;PSS;64200
Post-demographic dividend;PST;31348558.259
French Polynesia;PYF;3520
Qatar;QAT;11490
Romania;ROU;230080
Russia;RUS;16376870
Rwanda;RWA;24670
South Asia;SAS;4770754
Saudi Arabia;SAU;2149690
Sudan;SDN;1849233.715
Senegal;SEN;192530
Singapore;SGP;709
Solomon Islands;SLB;27990
Sierra Leone;SLE;72180
El Salvador;SLV;20720
San Marino;SMR;60
Somalia;SOM;627340
Serbia;SRB;87460
Sub-Saharan Africa (excluding high income);SSA;23850333.228
South Sudan;SSD;631928.123
Sub-Saharan Africa;SSF;23852823.228
Small states;SST;2501331
Sao Tome and Principe;STP;960
Suriname;SUR;156000
Slovak Republic;SVK;48080
Slovenia;SVN;20136.4
Sweden;SWE;407310
Eswatini;SWZ;17200
Sint Maarten (Dutch part);SXM;34
Seychelles;SYC;460
Syrian Arab Republic;SYR;183630
Turks and Caicos Islands;TCA;950
Chad;TCD;1259200
East Asia & Pacific (IDA & IBRD countries);TEA;15899196.9
Europe & Central Asia (IDA & IBRD countries);TEC;22989284.3
Togo;TGO;54390
Thailand;THA;510890
Tajikistan;TJK;138790
Turkmenistan;TKM;469930
Latin America & the Caribbean (IDA & IBRD countries);TLA;19913469
Timor-Leste;TLS;14870
Middle East & North Africa (IDA & IBRD countries);TMN;8635069
Tonga;TON;720
South Asia (IDA & IBRD);TSA;4770754
Sub-Saharan Africa (IDA & IBRD countries);TSS;23852823.228
Trinidad and Tobago;TTO;5130
Tunisia;TUN;155360
Turkey;TUR;769630
Tuvalu;TUV;30
Tanzania;TZA;885800
Uganda;UGA;200520
Ukraine;UKR;579400
Upper middle income;UMC;57642373.9
Uruguay;URY;175020
USA;USA;9147420
Uzbekistan;UZB;440555
St. Vincent and the Grenadines;VCT;390
Venezuela; RB;882050
British Virgin Islands;VGB;150
Virgin Islands (U.S.);VIR;350
Vietnam;VNM;310070
Vanuatu;VUT;12190
World;WLD;129949282.714
Samoa;WSM;2830
Kosovo;XKX;
Yemen; Rep.;527970
South Africa;ZAF;1213090
Zambia;ZMB;743390
Zimbabwe;ZWE;386850
Taiwan;TAI;36 193
Kyrgyzstan;KHI;199 900
